exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.55,cifar10,0.55,auto,699,100,5.283685207366943,completed
fteqm_0.55,cifar10,0.55,auto,799,4,34.345359802246094,completed
fteqm_0.55,cifar10,0.55,auto,799,10,11.615850448608398,completed
fteqm_0.55,cifar10,0.55,auto,799,20,7.615082740783691,completed
fteqm_0.55,cifar10,0.55,auto,799,50,5.666697978973389,completed
fteqm_0.55,cifar10,0.55,auto,799,100,5.308897972106934,completed
fteqm_0.55,cifar10,0.55,auto,899,4,36.89118957519531,completed
fteqm_0.55,cifar10,0.55,auto,899,10,10.316635131835938,completed
fteqm_0.55,cifar10,0.55,auto,899,20,6.646803379058838,completed
fteqm_0.55,cifar10,0.55,auto,899,50,5.196017742156982,completed
fteqm_0.55,cifar10,0.55,auto,899,100,4.924413204193115,completed
fteqm_0.60,cifar10,0.6,auto,99,4,38.72006607055664,completed
fteqm_0.60,cifar10,0.6,auto,99,10,21.26837158203125,completed
fteqm_0.60,cifar10,0.6,auto,99,20,17.223377227783203,completed
fteqm_0.60,cifar10,0.6,auto,99,50,15.618377685546875,completed
fteqm_0.60,cifar10,0.6,auto,99,100,15.393260955810547,completed
fteqm_0.60,cifar10,0.6,auto,199,4,36.56509017944336,completed
fteqm_0.60,cifar10,0.6,auto,199,10,14.236420631408691,completed
fteqm_0.60,cifar10,0.6,auto,199,20,10.860249519348145,completed
fteqm_0.60,cifar10,0.6,auto,199,50,10.445621490478516,completed
fteqm_0.60,cifar10,0.6,auto,199,100,10.047768592834473,completed
fteqm_0.60,cifar10,0.6,auto,299,4,37.90797424316406,completed
fteqm_0.60,cifar10,0.6,auto,299,10,12.275781631469727,completed
fteqm_0.60,cifar10,0.6,auto,299,20,8.10088062286377,completed
fteqm_0.60,cifar10,0.6,auto,299,50,7.283361434936523,completed
fteqm_0.60,cifar10,0.6,auto,299,100,7.03847074508667,completed
fteqm_0.60,cifar10,0.6,auto,399,4,34.143943786621094,completed
fteqm_0.60,cifar10,0.6,auto,399,10,12.565118789672852,completed
fteqm_0.60,cifar10,0.6,auto,399,20,9.394282341003418,completed
fteqm_0.60,cifar10,0.6,auto,399,50,8.943345069885254,completed
fteqm_0.60,cifar10,0.6,auto,399,100,8.49238109588623,completed
fteqm_0.60,cifar10,0.6,auto,499,4,38.314353942871094,completed
fteqm_0.60,cifar10,0.6,auto,499,10,15.996319770812988,completed
